original_title,start_year,runtime_mins,genre,average_rating,num_votes
"Tak erkir, tsurt dzmer",2016,104.0,Drama,4.0,62
Tower Heist,2011,104.0,"Action,Comedy,Crime",6.2,125102
The Smurfs,2011,103.0,"Adventure,Animation,Comedy",5.5,77577
The Mechanic,2011,93.0,"Action,Crime,Thriller",6.6,141254
Prince of Persia: The Sands of Time,2010,116.0,"Action,Adventure,Fantasy",6.6,254975
Cielito lindo,2010,91.0,"Drama,Thriller",6.9,35
"Hail, Caesar!",2016,106.0,"Comedy,Drama,Music",6.3,111422
Stiffs,2010,104.0,Comedy,7.3,64
Unstoppable,2010,98.0,"Action,Thriller",6.8,173019
Extremely Loud & Incredibly Close,2011,129.0,"Adventure,Drama,Mystery",6.9,93164
The Tree of Life,2011,139.0,"Drama,Fantasy",6.8,156266
El horror de la dama del lago,2010,90.0,"Fantasy,Horror,Thriller",6.2,10
Ant-Man,2015,117.0,"Action,Adventure,Comedy",7.3,501213
The Greater Meaning of Water,2010,60.0,"Drama,Sport",6.5,40
Perfect Life,2010,98.0,"Horror,Thriller",4.3,399
Season of the Witch,2011,95.0,"Action,Adventure,Fantasy",5.4,85777
Atlas Shrugged: Part I,2011,97.0,"Drama,Mystery,Sci-Fi",5.7,12524
The Losers,2010,97.0,"Action,Adventure,Crime",6.4,83876
Hall Pass,2011,105.0,"Comedy,Romance",5.9,113775
Felix Austria!,2013,77.0,"Biography,Documentary,History",7.5,12
The Croods,2013,98.0,"Action,Adventure,Animation",7.2,176699
Bandeiji,2010,119.0,"Drama,Music,Romance",6.8,402
Barry Munday,2010,95.0,"Comedy,Drama,Romance",5.9,3846
Chasing 3000,2010,115.0,"Family,Sport",6.5,759
La daga de Rasputín,2011,99.0,"Adventure,Comedy",3.0,186
uwantme2killhim?,2013,92.0,"Drama,Thriller",6.3,2288
Sushi in Suhl,2012,100.0,"Comedy,Drama",6.3,336
Red Tails,2012,125.0,"Action,Adventure,Drama",5.9,31815
Making Change,2012,94.0,Drama,6.7,59
Aftermath,2013,84.0,"Crime,Thriller",5.1,271
PrimeMates,2010,82.0,"Comedy,Drama",6.7,63
Silence,2016,161.0,"Adventure,Drama,History",7.2,85242
The Invited,2010,95.0,"Horror,Thriller",4.2,240
Double Tap,2011,100.0,"Action,Crime,Drama",5.2,52
Something Borrowed,2011,112.0,"Comedy,Drama,Romance",5.9,54314
Suburbicon,2017,105.0,"Comedy,Crime,Drama",5.6,31294
Tulip Fever,2017,105.0,"Drama,History,Romance",6.2,15037
Furry Vengeance,2010,92.0,"Comedy,Family",3.8,14700
Nina,2016,90.0,"Biography,Drama,Music",5.3,2246
CHIPS,2017,100.0,"Action,Comedy,Crime",6.0,37029
Ramona and Beezus,2010,103.0,"Adventure,Comedy,Family",6.6,16086
Good Sharma,2010,100.0,Drama,7.3,22
Bad Blood,2012,107.0,"Horror,Mystery,Romance",5.6,78
O Inimigo Sem Rosto,2010,85.0,"Crime,Drama",6.2,12
Prisoners of the Sun,2013,85.0,"Action,Adventure,Horror",3.7,1106
The Hero of Color City,2014,77.0,"Animation,Family",4.0,431
Rings,2017,102.0,"Drama,Horror,Mystery",4.5,34151
Who Is Harry Nilsson (And Why Is Everybody Talkin' About Him?),2010,116.0,"Biography,Documentary,Music",7.7,1332
Love & Other Drugs,2010,112.0,"Comedy,Drama,Romance",6.7,167680
Syrup,2013,90.0,"Comedy,Drama,Romance",5.7,10228
A Thousand Words,2012,91.0,"Comedy,Drama",5.9,36387
Escape from Planet Earth,2013,89.0,"Adventure,Animation,Comedy",5.9,23298
The Legend of Secret Pass,2019,92.0,"Animation,Family,Fantasy",4.9,331
Waste of Space,2010,78.0,"Adventure,Comedy,Sci-Fi",5.2,54
Eu e Meu Guarda-Chuva,2010,78.0,"Family,Fantasy",6.1,111
Night of the Templar,2013,101.0,"Horror,Mystery",5.9,5392
What's Your Number?,2011,106.0,"Comedy,Romance",6.1,67922
California Indian,2011,90.0,Drama,6.0,20
King of the Avenue,2010,83.0,"Drama,Fantasy,Thriller",4.0,449
Samsara,2011,102.0,"Documentary,Music",8.5,29725
Man of Steel,2013,143.0,"Action,Adventure,Sci-Fi",7.1,647288
Jersey Justice,2014,100.0,"Action,Thriller",7.2,115
Kill,2011,90.0,"Comedy,Horror,Thriller",4.5,95
El cielo elegido,2010,123.0,"Drama,Thriller",6.3,19
Cell,2016,98.0,"Action,Drama,Horror",4.3,21968
Destová víla,2010,100.0,"Family,Fantasy",5.4,70
L'illusionniste,2010,80.0,"Animation,Drama",7.5,31734
Night Catches Us,2010,90.0,"Drama,Romance",6.3,1390
Drive,2011,100.0,"Crime,Drama",7.8,521495
Kid Cannabis,2014,110.0,"Biography,Comedy,Crime",6.4,8924
Santorini Blue,2013,90.0,"Comedy,Drama",4.6,124
War of the Dead,2011,86.0,"Action,Adventure,Horror",4.1,2378
The Wolfman,2010,103.0,"Drama,Fantasy,Horror",5.8,97873
Escalade,2011,80.0,Thriller,4.5,43
The Attack,2012,102.0,"Drama,Mystery,War",7.1,3733
The Boxtrolls,2014,96.0,"Adventure,Animation,Comedy",6.8,50763
The Man Who Knew Infinity,2015,108.0,"Biography,Drama",7.2,43575
The Incredible Burt Wonderstone,2013,100.0,"Adventure,Comedy,Fantasy",5.9,67549
Dallas Buyers Club,2013,117.0,"Biography,Drama",8.0,402462
Elliot Loves,2012,92.0,"Comedy,Romance",6.2,463
The First Grader,2010,103.0,"Biography,Drama,Romance",7.5,4052
Jack Reacher,2012,130.0,"Action,Crime,Thriller",7.0,284547
R.I.P.D.,2013,96.0,"Action,Adventure,Comedy",5.6,109078
Miles Ahead,2015,100.0,"Biography,Drama,Music",6.4,8498
The Yellow Wallpaper,2012,115.0,Thriller,6.6,1695
Wilde Salomé,2011,95.0,"Documentary,Drama",6.8,748
Scary Movie 5,2013,86.0,Comedy,3.5,60139
13,2010,91.0,"Drama,Thriller",6.1,38418
The Guardians,2010,88.0,"Comedy,Family",7.8,68
Ironmen,2010,119.0,"Biography,Drama",4.3,6
Clash of the Titans,2010,106.0,"Action,Adventure,Fantasy",5.8,256176
The Dirt,2019,107.0,"Biography,Comedy,Drama",7.0,26876
Nemesis,2010,83.0,Drama,6.6,67
Thor,2011,115.0,"Action,Adventure,Fantasy",7.0,683264
