release_date,title,prod_budget,worldwide_gross,genre,average_rating,ROI,release_year,season_released
1998-09-18,Rush Hour,35000000,245300000,Documentary,6.6,6.008571428571429,1998,Fall
2013-12-13,Saving Mr. Banks,35000000,114962525,Biography,7.5,2.2846435714285716,2013,Winter
2008-03-28,21,35000000,159846429,Horror,7.2,3.567040828571429,2008,Spring
2005-07-29,Sky High,35000000,83109359,Documentary,7.4,1.3745531142857144,2005,Summer
2010-04-30,A Nightmare on Elm Street,35000000,117729621,Horror,5.2,2.363703457142857,2010,Spring
2010-10-08,Secretariat,35000000,60376247,Biography,7.2,0.7250356285714286,2010,Fall
2015-05-22,Poltergeist,35000000,95713069,Horror,4.9,1.7346591142857142,2015,Spring
2015-05-22,Poltergeist,35000000,95713069,Thriller,4.9,1.7346591142857142,2015,Spring
2011-11-09,J. Edgar,35000000,84606030,Biography,6.6,1.4173151428571429,2011,Fall
2018-08-17,Mile 22,35000000,66295121,Thriller,6.1,0.8941463142857143,2018,Summer
2018-06-01,Adrift,35000000,57897191,Biography,6.6,0.6542054571428572,2018,Summer
2011-09-23,Abduction,35000000,86648359,Horror,5.2,1.4756674,2011,Fall
2011-09-23,Abduction,35000000,86648359,Thriller,5.2,1.4756674,2011,Fall
2012-10-19,Alex Cross,35000000,35426759,Mystery,5.1,0.012193114285714285,2012,Fall
2013-01-25,Parker,35000000,48543388,Thriller,6.2,0.38695394285714285,2013,Winter
2015-09-30,The Walk,35000000,61492104,Thriller,6.8,0.7569172571428572,2015,Fall
2017-10-20,The Snowman,35000000,43226146,Mystery,5.1,0.23503274285714285,2017,Fall
2011-12-25,The Darkest Hour,34800000,62831715,Horror,4.9,0.8055090517241379,2011,Winter
2014-09-19,The Maze Runner,34000000,348319861,Mystery,6.8,9.244701794117647,2014,Fall
2012-04-27,Safe,33000000,41495213,Thriller,6.5,0.25743069696969695,2012,Spring
2010-08-27,Takers,32000000,70587268,Thriller,6.2,1.205852125,2010,Summer
1993-01-15,Alive,32000000,36299670,Biography,7.1,0.1343646875,1993,Winter
2013-04-12,42,31000000,97470701,Biography,7.5,2.1442161612903226,2013,Spring
2012-11-02,Flight,31000000,160558438,Thriller,7.3,4.179304451612904,2012,Fall
2013-02-01,Warm Bodies,30000000,115121608,Horror,6.9,2.8373869333333332,2013,Winter
2001-02-16,Down to Earth,30000000,71172251,Documentary,6.6,1.3724083666666667,2001,Winter
2017-11-22,Darkest Hour,30000000,150807172,Biography,7.4,4.026905733333333,2017,Fall
2017-07-28,Atomic Blonde,30000000,98345423,Mystery,6.7,2.2781807666666665,2017,Summer
2017-07-28,Atomic Blonde,30000000,98345423,Thriller,6.7,2.2781807666666665,2017,Summer
2014-10-24,John Wick,30000000,76235001,Thriller,7.4,1.5411667,2014,Fall
2012-04-13,The Cabin in the Woods,30000000,70689968,Horror,7.0,1.3563322666666666,2012,Spring
2011-04-08,Hanna,30000000,65343694,Thriller,6.8,1.1781231333333333,2011,Spring
2013-09-13,The Family,30000000,51078541,Horror,5.0,0.7026180333333333,2013,Fall
2013-09-13,The Family,30000000,51078541,Thriller,5.0,0.7026180333333333,2013,Fall
2018-02-09,The 15:17 to Paris,30000000,56096200,Biography,5.2,0.8698733333333334,2018,Winter
2018-02-09,The 15:17 to Paris,30000000,56096200,Thriller,5.2,0.8698733333333334,2018,Winter
2013-10-18,Carrie,30000000,82409520,Horror,5.9,1.746984,2013,Fall
2013-02-08,Side Effects,30000000,66742138,Mystery,7.1,1.2247379333333333,2013,Winter
2014-07-02,Deliver Us from Evil,30000000,87956618,Horror,6.2,1.9318872666666667,2014,Summer
2014-07-02,Deliver Us from Evil,30000000,87956618,Mystery,6.2,1.9318872666666667,2014,Summer
2014-07-02,Deliver Us from Evil,30000000,87956618,Thriller,6.2,1.9318872666666667,2014,Summer
2014-08-01,Get on Up,30000000,33339868,Biography,6.9,0.11132893333333334,2014,Summer
2011-02-04,Sanctum,30000000,108957098,Thriller,5.9,2.631903266666667,2011,Winter
2017-08-25,Ballerina,30000000,96892829,Biography,7.5,2.2297609666666665,2017,Summer
2017-08-25,Ballerina,30000000,96892829,Documentary,7.5,2.2297609666666665,2017,Summer
2013-10-04,Runner Runner,30000000,60512680,Thriller,5.6,1.0170893333333333,2013,Fall
2011-08-19,Fright Night,30000000,40520649,Horror,6.4,0.3506883,2011,Summer
2015-10-09,Steve Jobs,30000000,35579007,Biography,7.2,0.1859669,2015,Fall
2013-01-18,The Last Stand,30000000,48330757,Thriller,6.4,0.6110252333333334,2013,Winter
2018-09-28,Night School,29000000,103008792,Documentary,7.2,2.5520273103448274,2018,Fall
2016-08-12,Florence Foster Jenkins,29000000,56000339,Biography,6.8,0.9310461724137931,2016,Summer
2015-08-14,Straight Outta Compton,28000000,202182981,Biography,7.9,6.22082075,2015,Summer
2013-02-14,Safe Haven,28000000,94050951,Thriller,6.7,2.358962535714286,2013,Winter
2015-12-11,The Big Short,28000000,133162752,Biography,7.8,3.7558125714285713,2015,Winter
2014-02-21,3 Days to Kill,28000000,38959900,Thriller,6.2,0.391425,2014,Winter
2011-03-18,Limitless,27000000,155564919,Mystery,7.4,4.761663666666666,2011,Spring
2011-03-18,Limitless,27000000,155564919,Thriller,7.4,4.761663666666666,2011,Spring
2016-05-13,Money Monster,27000000,93466095,Thriller,6.5,2.461707222222222,2016,Spring
1990-08-10,Flatliners,26000000,61308153,Horror,5.2,1.3580058846153846,1990,Summer
1990-08-10,Flatliners,26000000,61308153,Mystery,5.2,1.3580058846153846,1990,Summer
2005-08-19,Red Eye,26000000,96666486,Horror,3.3,2.717941769230769,2005,Summer
2010-01-22,Legion,26000000,67647574,Horror,5.2,1.6018297692307693,2010,Winter
2012-04-27,The Raven,26000000,30601801,Mystery,6.4,0.17699234615384615,2012,Spring
2012-04-27,The Raven,26000000,30601801,Thriller,6.4,0.17699234615384615,2012,Spring
2016-12-25,Hidden Figures,25000000,231771716,Biography,7.8,8.27086864,2016,Winter
2000-12-15,Chocolat,25000000,152500343,Biography,7.0,5.10001372,2000,Winter
2014-05-16,Million Dollar Arm,25000000,39217912,Biography,7.0,0.56871648,2014,Spring
2014-12-10,The Gambler,25000000,38718031,Documentary,7.6,0.54872124,2014,Winter
2017-02-03,Rings,25000000,82917283,Horror,4.5,2.31669132,2017,Winter
2017-02-03,Rings,25000000,82917283,Mystery,4.5,2.31669132,2017,Winter
2011-08-26,Don't Be Afraid of the Dark,25000000,39126427,Horror,5.6,0.56505708,2011,Summer
2011-08-26,Don't Be Afraid of the Dark,25000000,39126427,Thriller,5.6,0.56505708,2011,Summer
2013-10-25,The Counselor,25000000,71009334,Thriller,5.3,1.84037336,2013,Fall
2018-12-07,Mary Queen of Scots,25000000,46734733,Biography,5.5,0.86938932,2018,Winter
2015-11-13,The 33,25000000,28400715,Biography,6.9,0.1360286,2015,Fall
2009-11-25,The Road,25000000,29206732,Horror,5.6,0.16826928,2009,Fall
2010-08-20,Piranha 3D,24000000,83660160,Horror,5.4,2.48584,2010,Summer
2018-11-16,Green Book,23000000,322034439,Biography,8.3,13.001497347826087,2018,Fall
2000-03-17,Final Destination,23000000,112036870,Documentary,6.1,3.871168260869565,2000,Spring
2011-10-07,The Ides of March,23000000,77735925,Thriller,7.1,2.3798228260869565,2011,Fall
2012-01-20,Haywire,23000000,36374700,Thriller,5.8,0.5815086956521739,2012,Winter
2016-02-26,Eddie the Eagle,23000000,45060480,Biography,7.4,0.9591513043478261,2016,Winter
2016-11-18,Nocturnal Animals,22500000,32398681,Thriller,7.5,0.43994137777777775,2016,Fall
1990-07-13,Ghost,22000000,517600000,Horror,2.3,22.527272727272727,1990,Summer
2014-02-28,Son of God,22000000,70949793,Documentary,6.8,2.224990590909091,2014,Winter
2013-11-27,Homefront,22000000,51695362,Thriller,6.5,1.3497891818181817,2013,Fall
2001-09-14,The Glass House,22000000,22861785,Thriller,7.4,0.03917204545454545,2001,Fall
2019-04-05,Pet Sematary,21000000,109501146,Horror,6.0,4.214340285714286,2019,Spring
2019-04-05,Pet Sematary,21000000,109501146,Mystery,6.0,4.214340285714286,2019,Spring
2019-04-05,Pet Sematary,21000000,109501146,Thriller,6.0,4.214340285714286,2019,Spring
